Date,Open,High,Low,Close,Adj Close,Volume
,LVS,LVS,LVS,LVS,,LVS
2004-12-01,26.9185,34.6793,26.7579,30.8375,30.8375,54499200
2005-01-01,31.7048,32.0581,26.6037,27.8822,27.8822,22770600
2005-02-01,28.2677,33.0218,27.6895,30.7732,30.7732,15508400
2005-03-01,30.8246,32.7455,28.2034,28.9101,28.9101,25344100
2005-04-01,28.9165,29.1285,23.3851,24.0596,24.0596,26641600
2005-05-01,24.0275,24.6892,21.265,23.2951,23.2951,22889400
2005-06-01,23.4814,25.6658,22.6398,22.9675,22.9675,18384100
2005-07-01,23.1281,26.0063,22.7748,25.8392,25.8392,10826800
2005-08-01,25.8392,26.1669,22.3636,22.672,22.672,13738900
2005-09-01,22.6077,25.0233,19.8323,21.1429,21.1429,24373100
2005-10-01,21.1429,22.2608,18.6824,22.0359,22.0359,19565900
2005-11-01,22.0359,29.8352,21.3485,26.7965,26.7965,29517100
2005-12-01,26.8222,27.047,24.458,25.3574,25.3574,17687500
2006-01-01,25.518,33.1438,24.6957,32.9897,32.9897,28621700
2006-02-01,32.9896,36.4717,29.6554,34.2745,34.2745,29610200
2006-03-01,34.2681,37.2812,31.6405,36.4011,36.4011,72126200
2006-04-01,36.401,42.999,35.129,41.637,41.637,36272100
2006-05-01,41.6627,46.9886,37.2619,45.3632,45.3632,47577500
2006-06-01,45.3696,50.6891,38.9516,50.0209,50.0209,46702900
2006-07-01,50.0145,50.0209,37.0563,39.851,39.851,53396700
2006-08-01,39.6904,46.1791,37.8465,44.8492,44.8492,46404300
2006-09-01,45.2283,46.7509,40.911,43.9113,43.9113,44797700
2006-10-01,44.6437,50.6762,42.4401,48.9545,48.9545,33338900
2006-11-01,49.083,62.2531,45.7101,58.8225,58.8225,65079200
2006-12-01,59.1372,62.478,56.7024,57.4861,57.4861,35213600
2007-01-01,58.7839,70.3158,57.7431,66.8594,66.8594,62042100
2007-02-01,67.5019,68.6455,53.5737,55.4689,55.4689,52654300
2007-03-01,54.6016,59.8504,52.0382,55.6423,55.6423,51004100
2007-04-01,55.6423,59.0602,54.3831,54.7301,54.7301,33326700
2007-05-01,54.9292,57.1007,48.2927,50.1237,50.1237,81476800
2007-06-01,50.1237,53.0854,45.7679,49.0765,49.0765,69626600
2007-07-01,49.9952,57.1457,48.5433,56.0535,56.0535,62083800
2007-08-01,55.758,70.6692,54.0748,64.052,64.052,98079500
2007-09-01,64.4374,91.7093,63.3132,85.7153,85.7153,88616500
2007-10-01,86.2806,95.5704,78.3464,85.4968,85.4968,80946800
2007-11-01,85.015,85.3748,67.534,72.8535,72.8535,65838900
2007-12-01,72.1275,78.9953,65.8508,66.2042,66.2042,33439200
2008-01-01,66.4932,67.701,45.421,56.3747,56.3747,76764600
2008-02-01,56.3298,61.1995,51.7491,53.5158,53.5158,55137700
2008-03-01,52.8541,54.1519,44.9713,47.3098,47.3098,40866700
2008-04-01,47.8173,53.4066,41.6755,48.9673,48.9673,76896300
2008-05-01,44.4702,49.1472,40.8404,44.6115,44.6115,70285000
2008-06-01,44.316,44.483,29.1028,30.4777,30.4777,82820900
2008-07-01,29.3663,36.4075,19.6332,29.2442,29.2442,154287900
2008-08-01,30.0344,38.0136,25.2674,30.4584,30.4584,95304800
2008-09-01,31.8397,33.1888,19.8388,23.1988,23.1988,109884600
2008-10-01,23.43,23.7705,2.7754,9.1163,9.1163,342854000
2008-11-01,10.2149,10.7995,1.8567,3.3215,3.3215,544615200
2008-12-01,3.148,5.0111,2.2871,3.8097,3.8097,339759300
2009-01-01,3.7904,5.8784,3.2122,3.3086,3.3086,336545500
2009-02-01,3.1673,3.2444,1.3684,1.4648,1.4648,455886900
2009-03-01,1.4455,2.1329,0.8866,1.9338,1.9338,715803900
2009-04-01,2.043,5.8141,1.9787,5.0239,5.0239,1205683900
2009-05-01,5.1396,7.6066,4.7798,6.3666,6.3666,1122227300
2009-06-01,6.5337,6.9384,4.42,5.0496,5.0496,610579300
2009-07-01,5.2295,7.4267,4.0603,6.0069,6.0069,849875500
2009-08-01,6.251,9.6174,6.2317,9.1613,9.1613,858255300
2009-09-01,9.0842,13.3179,8.5445,10.8188,10.8188,1097657800
2009-10-01,10.671,12.1037,8.3197,9.6945,9.6945,963594000
2009-11-01,9.6174,11.8853,8.8079,9.8423,9.8423,595932000
2009-12-01,10.1507,10.7353,9.5532,9.5982,9.5982,357809000
2010-01-01,10.0222,12.2836,9.8744,9.9579,9.9579,553831800
2010-02-01,10.0671,11.5319,9.5596,10.6839,10.6839,484729100
2010-03-01,10.8381,14.4486,10.7803,13.5878,13.5878,806479100
2010-04-01,13.607,17.0698,13.2987,15.9712,15.9712,802697700
2010-05-01,16.3117,16.5944,11.6154,15.0847,15.0847,937438400
2010-06-01,14.8855,17.8857,14.1467,14.2238,14.2238,911747800
2010-07-01,14.2238,17.6609,13.3179,17.2561,17.2561,669165600
2010-08-01,17.6673,19.5754,17.1983,18.2005,18.2005,610207500
2010-09-01,18.4382,23.0638,18.1812,22.3893,22.3893,548761600
2010-10-01,22.7041,29.6489,22.2351,29.4755,29.4755,659682900
2010-11-01,29.7774,35.6365,28.3319,32.1737,32.1737,901314400
2010-12-01,33.2531,33.4586,26.79,29.5204,29.5204,707413700
2011-01-01,30.362,32.7969,28.3383,29.8674,29.8674,558209800
2011-02-01,30.4134,32.5399,28.0428,29.9637,29.9637,451780400
2011-03-01,29.09,29.514,23.1602,27.1241,27.1241,608600600
2011-04-01,28.1392,30.2464,27.2526,30.2014,30.2014,314436300
2011-05-01,30.4327,30.9981,25.4345,26.6872,26.6872,314333600
2011-06-01,26.7515,27.7666,23.9183,27.1177,27.1177,316903300
2011-07-01,27.3618,31.1394,27.1627,30.3106,30.3106,316886400
2011-08-01,31.0944,31.3193,23.1795,29.9188,29.9188,497978800
2011-09-01,30.1757,32.4372,24.2524,24.6314,24.6314,426412900
2011-10-01,23.8027,31.7626,23.2566,30.1629,30.1629,388720900
2011-11-01,29.0193,31.6405,27.1305,30.0087,30.0087,267378200
2011-12-01,29.7453,30.3813,25.7172,27.4518,27.4518,187396600
2012-01-01,28.0685,32.5592,26.835,31.5506,31.5506,215649600
2012-02-01,31.7112,35.977,31.5313,35.7265,35.7265,204563500
2012-03-01,36.1633,38.4504,33.8634,36.9857,36.9857,207924100
2012-04-01,36.9665,40.0637,35.2759,35.805,35.805,231358900
2012-05-01,35.7986,36.5471,29.0363,29.7977,29.7977,235957200
2012-06-01,28.8363,31.3592,26.636,28.062,28.062,206628200
2012-07-01,28.0689,28.4452,22.5278,23.6308,23.6308,230480500
2012-08-01,23.9358,28.4647,23.5465,27.5044,27.5044,202050100
2012-09-01,27.3747,30.8784,26.2781,30.0868,30.0868,156436400
2012-10-01,30.4449,30.7189,27.8094,30.2949,30.2949,115261800
2012-11-01,30.2818,30.8233,26.2764,30.4319,30.4319,159056100
2012-12-01,30.6145,31.3778,27.8355,30.1122,30.1122,126906800
2013-01-01,33.5715,38.6617,33.5087,38.5779,38.5779,177884200
2013-02-01,38.2358,39.0597,33.7182,35.9526,35.9526,151633900
2013-03-01,35.8059,39.6812,34.7935,39.346,39.346,108428700
2013-04-01,39.6052,40.1393,35.8169,39.5349,39.5349,120412400
2013-05-01,39.4435,42.5501,39.2819,40.6946,40.6946,106649900
2013-06-01,40.9757,41.5028,33.7013,37.2015,37.2015,139258600
2013-07-01,38.1734,39.9908,35.8326,39.2978,39.2978,96592000
2013-08-01,39.6797,41.094,38.4421,39.8494,39.8494,76959300
2013-09-01,40.3515,47.6283,40.302,46.9707,46.9707,105173300
2013-10-01,47.5123,52.2551,45.1446,49.9299,49.9299,108764700
2013-11-01,50.449,51.7573,48.4865,50.9681,50.9681,73355300
2013-12-01,50.9823,56.3507,50.5841,56.0805,56.0805,83361600
2014-01-01,56.164,58.914,51.9212,54.6569,54.6569,112509500
2014-02-01,54.714,61.3283,49.3926,60.8926,60.8926,95838100
2014-03-01,59.4497,63.0568,53.364,57.6997,57.6997,96424300
2014-04-01,60.3824,60.5333,51.084,56.8614,56.8614,142019400
2014-05-01,56.7177,58.3848,51.5295,54.9859,54.9859,116450300
2014-06-01,55.2733,56.0063,51.0912,54.7703,54.7703,101216200
2014-07-01,55.9332,56.7942,52.0336,53.4299,53.4299,87916400
2014-08-01,53.1839,53.741,47.6275,48.1195,48.1195,102465900
2014-09-01,47.0921,47.1355,42.7439,45.0085,45.0085,163847500
2014-10-01,44.4722,48.0093,42.2552,45.4057,45.4057,155801100
2014-11-01,45.4057,47.6592,42.0437,46.4486,46.4486,103574200
2014-12-01,45.6537,46.2881,36.3333,42.4156,42.4156,140884500
2015-01-01,42.8046,43.0916,38.477,40.0152,40.0152,122126500
2015-02-01,40.0152,45.329,39.1909,41.8773,41.8773,108862100
2015-03-01,41.6933,42.8855,37.7116,40.5083,40.5083,123406000
2015-04-01,41.1733,44.6144,38.7378,39.3858,39.3858,122225500
2015-05-01,39.6912,40.7637,36.9204,37.8589,37.8589,92811500
2015-06-01,37.3748,41.2329,37.0024,39.1549,39.1549,115936400
2015-07-01,41.0272,43.5608,39.964,42.2563,42.2563,135159500
2015-08-01,42.1055,43.3421,30.1615,34.8592,34.8592,112646300
2015-09-01,34.0222,37.2117,28.201,28.6308,28.6308,122864900
2015-10-01,29.3326,38.6055,27.9259,37.8487,37.8487,170403500
2015-11-01,38.0322,39.8592,33.3689,33.6824,33.6824,93345500
2015-12-01,34.0187,35.3336,30.7468,33.5142,33.5142,104427400
2016-01-01,33.2357,35.0295,27.0855,35.0217,35.0217,136057500
2016-02-01,34.7732,37.7318,30.3004,37.4911,37.4911,108755900
2016-03-01,38.0658,42.5541,37.8561,40.1313,40.1313,112398200
2016-04-01,40.0353,41.9556,35.384,35.5336,35.5336,114389800
2016-05-01,36.5409,37.2965,34.6836,36.3914,36.3914,69930100
2016-06-01,35.4785,37.9261,32.6216,34.2271,34.2271,85206500
2016-07-01,34.848,40.9464,33.801,40.4828,40.4828,82635400
2016-08-01,40.3789,42.3611,39.236,40.1311,40.1311,76467600
2016-09-01,41.5378,46.8769,41.4659,45.9897,45.9897,97176700
2016-10-01,47.8374,48.5659,45.6519,46.8499,46.8499,64287900
2016-11-01,47.3356,51.3018,45.4415,50.7271,50.7271,91398500
2016-12-01,50.638,50.8323,42.9565,43.2317,43.2317,130814300
2017-01-01,43.9569,47.1048,42.5468,43.1043,43.1043,94803100
2017-02-01,42.7846,44.4815,42.0959,43.4076,43.4076,61779100
2017-03-01,44.8012,47.4819,43.5142,46.7851,46.7851,83161800
2017-04-01,48.1438,49.6966,45.8189,48.9825,48.9825,73495900
2017-05-01,49.2233,49.6966,46.7737,49.0987,49.0987,72351400
2017-06-01,49.4558,54.9859,49.4475,53.0512,53.0512,74186100
2017-07-01,53.1481,53.2824,50.1254,51.7291,51.7291,63811900
2017-08-01,52.1405,52.3756,49.6721,52.2329,52.2329,58269500
2017-09-01,52.8962,54.4999,51.9474,53.8702,53.8702,47416800
2017-10-01,53.5864,55.9557,51.6756,53.8242,53.8242,67772300
2017-11-01,55.1999,58.8601,54.495,58.8431,58.8431,57794400
2017-12-01,59.1828,61.3143,57.9344,59.0129,59.0129,50464300
2018-01-01,59.1973,68.4972,57.9104,66.5068,66.5068,99138600
2018-02-01,66.6098,68.0168,58.4509,62.466,62.466,66501700
2018-03-01,62.2,66.1894,59.4203,61.6853,61.6853,69127400
2018-04-01,63.0003,65.4961,59.3261,63.5463,63.5463,62320500
2018-05-01,64.0316,70.089,63.789,69.855,69.855,57065600
2018-06-01,68.8844,70.5829,65.3055,66.172,66.172,89118200
2018-07-01,63.6746,66.561,61.2868,62.8874,62.8874,82066100
2018-08-01,62.8175,63.0624,55.9952,57.2197,57.2197,83689700
2018-09-01,57.1235,57.2197,51.6394,51.8931,51.8931,96483700
2018-10-01,52.2621,54.4316,43.6373,45.187,45.187,128068900
2018-11-01,45.426,51.2615,43.0706,48.6493,48.6493,119529000
2018-12-01,51.4828,52.4303,41.9637,46.0902,46.0902,97536600
2019-01-01,45.7596,53.5523,45.6878,52.3942,52.3942,91392100
2019-02-01,52.3763,56.1649,51.5862,55.1504,55.1504,62388900
2019-03-01,55.6442,55.689,52.3224,54.7284,54.7284,70993100
2019-04-01,56.794,63.2964,56.6394,60.9774,60.9774,76420300
2019-05-01,61.6595,62.3415,49.3639,50.0187,50.0187,102770500
2019-06-01,49.564,54.8296,47.7724,53.7383,53.7383,93405900
2019-07-01,57.3496,60.2996,55.0081,55.7179,55.7179,76018100
2019-08-01,55.7456,56.6214,47.1722,51.1362,51.1362,84162300
2019-09-01,50.1775,56.1143,49.1634,53.2473,53.2473,94761700
2019-10-01,54.1679,58.6321,49.8532,57.7542,57.7542,157768200
2019-11-01,58.2212,60.4813,56.3253,58.6041,58.6041,53492800
2019-12-01,58.5574,65.6926,57.1004,64.4785,64.4785,67608800
2020-01-01,65.9991,70.1642,57.6878,61.6829,61.6829,103048000
2020-02-01,62.4385,67.4158,53.1544,55.0716,55.0716,100500800
2020-03-01,55.6289,56.2144,31.4506,40.1114,40.1114,213182700
2020-04-01,38.8404,48.1556,35.4496,46.2579,46.2579,223884700
2020-05-01,44.3987,50.2845,40.873,46.1808,46.1808,126118300
2020-06-01,46.7395,53.9643,41.3065,43.8689,43.8689,176895100
2020-07-01,43.9749,48.5987,41.1235,42.0386,42.0386,127622300
2020-08-01,41.5955,51.0166,41.0175,48.8492,48.8492,125126100
2020-09-01,48.8684,51.5464,42.4432,44.9478,44.9478,123116600
2020-10-01,44.7551,49.1093,42.4625,46.2964,46.2964,124144700
2020-11-01,46.9226,58.646,46.412,53.6657,53.6657,120003900
2020-12-01,54.5134,57.9139,53.1937,57.413,57.413,77513300
2021-01-01,57.6056,58.0776,45.6992,46.3253,46.3253,145222600
2021-02-01,47.2019,62.7593,46.7203,60.3029,60.3029,156980400
2021-03-01,62.1235,64.3198,55.6501,58.5304,58.5304,128816000
2021-04-01,59.0409,61.9694,55.6308,59.012,59.012,94303500
2021-05-01,59.0698,59.5419,52.6446,55.6308,55.6308,114851800
2021-06-01,56.44,57.4033,49.1382,50.7565,50.7565,148901200
2021-07-01,50.9107,51.6042,40.6515,40.796,40.796,160563300
2021-08-01,41.3161,43.1657,35.0836,42.973,42.973,220821000
2021-09-01,43.4739,43.8496,34.284,35.2569,35.2569,270353600
2021-10-01,35.912,39.5148,35.1799,37.3859,37.3859,175277400
2021-11-01,37.4533,41.6437,33.9469,34.3129,34.3129,170663700
2021-12-01,34.968,37.9349,32.5115,36.2588,36.2588,178485200
2022-01-01,36.6248,43.8207,34.0817,42.1927,42.1927,239128500
2022-02-01,42.2313,46.4987,40.507,41.2872,41.2872,143388300
2022-03-01,40.9212,43.2235,30.1129,37.4436,37.4436,191862600
2022-04-01,38.0505,38.8886,32.2803,34.1299,34.1299,115762100
